0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:03:26 +0700] "GET /CrmWeb/user HTTP/1.1" 200 9300
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:03:26 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:03:29 +0700] "GET /CrmWeb/user/edit?id=13 HTTP/1.1" 200 6769
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:03:29 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:03:51 +0700] "POST /CrmWeb/user/edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:03:51 +0700] "GET /CrmWeb/user HTTP/1.1" 200 9302
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:03:51 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:03:59 +0700] "GET /CrmWeb/user/edit?id=13 HTTP/1.1" 200 6770
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:03:59 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:02 +0700] "GET /CrmWeb/user HTTP/1.1" 200 9302
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:02 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:08 +0700] "GET /CrmWeb/user/delete?id=13 HTTP/1.1" 200 8857
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:08 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:12 +0700] "GET /CrmWeb/role HTTP/1.1" 200 7694
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:12 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:16 +0700] "GET /CrmWeb/role/edit?id=11 HTTP/1.1" 200 6038
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:16 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:19 +0700] "POST /CrmWeb/role/edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:19 +0700] "GET /CrmWeb/role HTTP/1.1" 200 7696
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:19 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:23 +0700] "GET /CrmWeb/role/delete?id=11 HTTP/1.1" 200 7292
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:04:23 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
